Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
7,137.72,206786.49,140687.10,8827.02,82.14,3,191480594.70,2,19777750.96,48648.75,83.32,259
4,634.58,404806.36,270103.02,4749.51,77.73,4,412020054.50,2,9077443.06,10825.06,50.65,3487
1,120.81,497696.83,46054.63,698.33,84.33,3,185230048.50,2,3024800.52,3637.42,23.60,426
6,672.08,410546.81,61426.71,1333.72,82.76,3,205375795.80,1,14714396.82,13515.95,75.78,4512
1,31.58,324002.09,11721.42,8787.08,84.34,3,185861498.70,3,10565760.19,28445.73,46.27,315
7,723.98,1553.72,418790.37,7844.90,76.95,1,233995970.20,3,16392768.53,5228.24,75.76,4006
6,128.46,112417.05,12835.58,6208.35,85.84,3,191186115.30,2,15704365.01,16980.57,92.67,66
1,515.88,20806.99,264464.78,4460.09,63.82,2,236482916.50,1,11640567.80,33541.58,64.43,2627
1,43.78,68455.91,428456.59,1433.21,88.71,1,460132647.30,3,8293860.85,8897.39,69.68,3228
4,41.49,256264.00,415236.56,8436.59,68.19,1,19820984.94,3,19050315.39,24644.45,85.86,616
3,891.27,220567.55,273971.05,5748.90,74.10,3,346502102.70,2,16203636.89,33876.29,15.03,877
4,108.65,123523.49,257239.70,7718.69,62.89,2,75867923.41,3,17028823.64,13318.55,84.16,232
1,321.17,434416.91,127763.36,381.43,51.89,4,40395776.88,3,13448524.71,33221.27,88.34,2545
6,41.88,311129.23,236460.45,9719.09,83.07,4,18735265.76,3,146822.75,36357.44,51.21,4110
5,26.61,266824.21,60671.35,8115.67,59.73,3,38109259.67,3,8454069.30,24844.82,47.26,286
5,741.63,419093.43,261182.01,2945.61,94.57,4,98044158.60,1,11728227.48,17117.92,93.64,301
1,498.75,405553.45,224414.25,3349.81,89.26,2,242800160.90,1,13664915.71,25144.43,76.77,3644
6,346.25,396793.66,132192.84,5410.04,87.39,3,98950719.22,1,15201514.41,39522.28,85.01,867
4,92.62,203254.51,138978.41,1910.52,94.56,4,124963440.80,2,19439928.04,23921.67,56.57,274
1,54.98,206830.61,382823.65,362.81,52.51,4,113742923.30,2,19987198.47,29437.45,31.10,1331
6,845.03,217135.64,438691.10,1874.94,84.00,2,270006242.10,3,6856487.34,6581.08,84.20,2473
2,937.73,59745.41,350094.79,2895.10,69.76,1,358273829.20,3,15319405.82,14456.82,51.87,1857
7,240.16,226273.02,14653.19,7328.92,50.60,3,411531038.70,2,7245984.32,21302.70,47.77,1138
5,793.93,435987.32,322351.24,7536.78,73.94,1,338675681.50,3,10444408.01,9042.11,30.22,1960
7,242.87,82716.85,377526.48,5136.61,67.64,2,9574819.26,1,6418737.20,38395.89,61.46,1579
7,950.69,495945.14,302788.47,510.27,98.06,4,492945181.00,1,13690876.99,26413.54,59.26,2772
4,735.28,444846.82,128304.31,1641.44,61.41,3,118387653.10,2,5296984.58,7273.06,51.69,2925
6,108.04,354962.33,422546.86,23.41,56.53,1,448828696.50,2,6414362.56,46987.30,46.54,4614
6,116.71,151119.84,415398.43,1201.70,53.32,2,104690522.00,3,1699737.91,35645.04,33.73,2026
7,660.39,374844.98,201599.34,8425.90,65.01,3,23184569.92,1,12387022.88,47698.82,29.78,1594
6,844.16,84989.41,265007.95,8068.17,58.09,4,424031319.90,1,15770301.52,16350.59,92.29,946
6,551.63,410373.75,184937.72,508.64,77.48,4,20986792.46,3,339908.78,49710.89,24.33,1672
2,187.31,464782.81,305957.49,701.67,55.47,4,419773278.00,1,6172137.01,25468.86,37.48,3465
6,964.93,88219.93,378138.93,1874.74,52.78,1,304321478.20,2,10250992.41,21069.70,73.34,1181
5,531.64,95220.65,204517.13,3660.91,93.01,4,124993992.50,3,17063340.34,33416.29,48.57,4869
5,250.55,465933.49,128374.25,6120.06,81.10,1,274453444.80,1,12383909.49,11936.90,23.20,4228
4,266.41,315551.28,5975.16,1904.01,96.28,3,46464247.96,2,13586163.69,45667.65,26.66,839
2,514.51,353450.71,207421.21,9653.00,72.50,3,235651604.40,2,4799534.54,37356.05,24.32,766
3,496.71,157510.65,311752.06,9622.59,93.64,2,71001920.95,1,10923500.55,22871.23,71.74,3541
5,433.70,398604.20,406486.10,8736.69,73.43,3,112799680.20,2,2345729.83,11393.70,34.55,2960
4,839.38,414588.21,7235.39,9823.06,67.70,2,121790499.60,1,8274150.40,21228.88,2.32,3003
7,328.33,494887.19,131106.26,6390.49,51.69,1,247509913.60,2,2860118.13,44186.90,41.07,3725
1,45.05,257982.56,406446.22,8353.78,73.22,4,231919859.30,2,16944647.24,682.22,14.98,1029
3,316.15,400466.59,260272.90,8679.77,91.81,2,107806354.80,2,14850434.05,31325.06,2.12,1311
3,921.04,412213.33,248270.45,1902.84,54.30,1,287284412.60,2,10865006.49,13621.43,43.40,3530
2,45.23,233342.55,182255.36,3309.70,92.56,1,432127469.40,2,15270751.53,12664.46,9.75,2685
4,313.63,468311.69,292975.00,978.67,72.38,4,99103524.30,2,9743360.93,6386.31,1.94,3589
5,13.46,219918.81,247837.09,1236.72,98.42,1,274124575.80,3,16601951.70,24543.13,12.49,182
7,504.08,359820.41,429657.13,5050.01,72.48,4,130360916.60,3,18981199.30,8985.69,19.24,2980
1,808.05,201545.31,156839.86,747.18,93.77,3,216750435.40,3,8119136.59,12735.76,15.72,1601
5,751.87,329979.20,182906.07,8865.58,72.72,3,281625731.60,1,18532641.25,7935.90,48.78,3985
6,314.88,293091.11,265885.67,9533.93,67.58,1,4685991.22,1,12301392.06,10945.22,29.96,4964
2,469.86,249829.18,94245.29,6244.53,60.69,4,409409156.60,1,1595685.87,21124.95,46.60,3983
4,134.42,467881.59,93747.65,549.30,85.31,4,182772026.60,2,17362773.35,43523.02,91.51,2962
2,398.00,285522.82,38644.25,1515.44,91.57,2,110986821.20,2,3892496.50,1001.36,56.76,2473
2,721.07,397970.90,432490.96,7665.70,71.48,1,259807432.90,3,1052084.58,15573.70,30.06,2903
1,69.79,208742.24,239855.11,2578.46,53.85,4,430008808.60,2,421673.84,34797.64,30.40,2195
7,668.84,30070.97,300805.35,4395.25,69.69,3,10863319.00,1,17761638.74,10505.14,89.56,1178
7,117.05,369392.74,78783.92,8237.60,90.58,4,200084520.40,1,19184215.77,32025.18,72.26,3727
7,153.96,50119.65,441183.71,491.35,97.48,3,328679859.80,1,300111.04,38468.12,81.47,3275
1,78.28,99424.40,87628.26,1644.19,87.90,2,495968838.20,3,6145621.93,13978.77,48.13,1938
1,791.15,135716.39,133789.63,1868.68,58.81,2,363543073.50,3,16040873.78,7167.11,45.87,1777
1,291.07,360792.02,6945.99,3559.91,97.85,3,426815921.00,1,7215096.63,18639.95,29.84,3958
5,774.84,463247.57,21294.14,2826.64,97.16,1,308979579.90,2,1896207.05,17076.19,17.22,4408
7,85.22,474552.31,82262.19,8627.57,76.46,2,424051426.00,3,17782077.49,8959.25,32.50,632
6,120.10,78810.50,445763.63,1925.48,72.11,2,122567645.50,1,12320354.50,49510.39,36.33,1869
2,22.57,377234.94,360764.83,4253.15,84.65,4,196883315.20,3,17319444.12,14582.57,52.30,264
5,635.02,199764.18,185732.21,7731.65,96.76,4,111121319.10,2,2979917.27,13958.32,15.38,2268
5,563.33,332204.77,289132.14,9311.50,96.53,1,23512437.59,1,486982.22,20275.68,38.89,3538
4,219.47,98045.89,317550.61,1489.14,85.62,1,435147326.50,1,8378710.88,10606.96,96.82,2767
6,821.06,318434.69,235504.19,5091.95,62.71,1,282718133.40,1,1638061.10,40274.07,85.02,3212
7,510.99,394869.65,415763.73,8985.81,86.14,4,82929382.91,3,19647239.91,22329.10,82.70,4570
3,376.03,428086.67,91695.77,7224.55,69.41,2,342708113.60,3,13832521.93,9363.71,54.07,1282
7,417.58,459342.37,323053.47,7340.68,89.73,2,407734390.30,1,115903.46,10608.58,87.11,879
1,33.26,460856.97,282618.11,2862.20,88.26,3,253988156.70,2,17329039.03,25055.16,40.82,4697
2,698.20,441245.74,276998.64,9000.47,83.86,2,74779772.06,1,773512.98,20379.47,26.22,3206
6,612.27,297420.81,260032.02,6218.05,73.04,2,446620620.10,2,14273390.33,25717.00,37.34,3534
7,244.97,240738.43,364724.44,466.70,95.74,1,39377648.64,2,9214871.52,31503.29,48.75,651
3,767.50,325830.72,2192.71,2487.93,72.28,4,31337288.11,1,19009227.74,30336.49,34.70,1185
4,925.06,211659.39,1123.54,207.78,70.78,2,135983210.30,1,2074693.54,43644.48,67.79,1463
7,753.70,1938.69,10609.86,1316.64,97.39,1,455000751.00,2,2772023.96,41433.09,46.20,4787
6,371.19,7277.19,82138.49,9998.84,95.82,4,79047082.03,3,2651756.91,17549.82,90.89,1959
2,89.53,78907.54,445810.22,3827.11,96.43,2,126224393.90,2,12460277.99,25007.90,95.58,4811
1,622.43,446235.88,181765.02,8659.17,91.20,4,252887659.40,2,10156322.24,20336.01,75.29,455
7,726.32,40751.76,434105.25,548.04,62.01,1,51769250.28,1,15605432.98,37451.50,56.60,469
6,557.83,484620.10,130517.56,2543.33,97.09,3,414036839.70,2,13837082.03,30527.12,79.32,280
3,369.11,144509.25,408156.54,2345.61,75.91,2,238330687.30,3,5370369.17,42728.26,99.02,605
2,725.16,379022.10,359500.69,9461.85,89.00,4,237942447.30,3,19910363.44,28405.79,65.32,3619
2,732.43,493637.89,162180.33,652.31,97.21,4,487645749.50,1,12922785.12,12009.97,30.24,1983
6,159.96,56902.79,97292.27,8453.50,59.37,2,12280999.28,3,9270220.17,3688.69,46.79,68
4,577.68,273544.94,449124.73,7154.07,61.05,3,74549794.14,1,2636814.46,36676.17,26.28,2201
4,193.11,419217.96,281788.72,4728.26,51.13,3,126347749.70,2,10102199.08,25681.88,81.39,3285
3,184.05,414789.06,389032.94,6867.34,68.06,3,459619059.50,3,14787993.53,22768.07,6.28,1377
6,51.99,49768.26,161172.80,6818.90,76.22,4,301301679.20,1,1759983.84,6872.66,73.05,1191
2,208.34,243295.33,243661.20,8635.13,98.89,2,133583526.30,1,18350817.86,40859.34,54.44,4678
2,609.39,447355.63,449699.13,2096.48,74.65,2,396393434.00,3,19345117.77,13734.67,8.68,3339
2,303.50,50349.10,74465.49,7203.53,76.44,3,317618913.10,2,9498240.35,40914.43,59.61,3225
6,153.24,257686.14,255826.70,4113.62,50.75,4,483197073.00,1,15552910.27,24846.28,14.70,2692
3,866.43,105326.43,267990.42,2844.60,66.51,2,147691423.10,1,5646490.99,29832.74,97.20,2554
4,350.67,497932.38,345802.80,4310.99,52.47,1,170030800.40,2,13791392.15,38937.56,72.69,2143
5,637.42,339427.65,407716.25,300.47,65.39,1,216104840.00,3,11183880.03,33877.93,96.50,2991
1,284.99,84552.14,441076.09,8075.08,78.66,2,67658791.27,3,3949552.88,14437.23,12.82,2865
6,454.25,3152.45,345350.28,1620.13,65.27,1,337192183.10,2,15966606.94,1102.59,37.03,4907
6,178.17,83943.76,338106.05,9544.41,51.52,3,231581572.40,2,11899069.66,27612.00,71.39,228
7,694.36,338175.86,47079.06,6581.31,51.22,3,175011921.90,2,13438053.63,25097.64,50.75,3695
5,278.59,357081.65,377792.21,6915.63,90.77,3,472022707.30,3,15332072.97,17506.16,39.03,1914
3,205.98,384854.77,24582.00,1597.89,91.28,4,315530073.90,2,13156939.46,1119.72,34.44,44
4,827.42,72436.05,169975.68,7942.64,59.80,1,175208222.00,3,16606792.72,8910.96,82.01,1904
7,859.40,420485.59,173094.88,6638.93,71.11,1,345485757.80,1,11295692.69,35122.95,60.68,2496
1,788.47,52016.79,435566.43,724.80,78.07,3,103837771.80,1,12796889.04,17432.04,86.32,3240
2,296.54,182799.71,447009.81,818.88,57.57,1,255271753.00,3,13986175.25,32142.76,47.00,4655
2,17.81,83680.06,93147.59,8973.19,63.25,1,303909049.40,1,16825862.76,39790.75,45.43,1795
4,998.50,319230.74,56951.81,93.37,55.47,4,471821866.00,3,8736287.72,34819.05,61.12,1410
3,556.42,50121.77,260402.85,8729.20,91.59,1,130196513.20,2,3455050.66,28361.02,36.21,1372
3,578.44,252630.13,384513.10,1866.89,54.07,3,354031538.60,3,9742412.89,2985.13,64.58,2691
4,850.81,416866.32,207541.85,1799.08,80.40,4,285170161.10,3,3157155.24,13345.67,58.31,2622
1,66.11,346320.89,325057.26,9667.19,88.45,4,117481260.60,3,979992.27,18924.26,38.24,3043
2,656.49,164249.70,183098.18,11.98,52.05,3,415868237.30,1,11736231.66,18424.98,89.76,1577
5,887.62,177917.96,427121.78,9078.23,64.21,1,105147650.60,1,14384436.25,43915.92,99.86,2433
7,205.54,306323.32,394016.78,6740.37,79.95,4,5108493.62,3,11488223.85,31200.28,26.66,2082
7,16.63,473289.75,172392.18,2964.14,92.55,3,96573023.31,3,1970817.64,34789.39,67.20,4046
5,555.15,81463.23,260588.25,6099.77,62.25,4,471081650.80,1,11136844.88,45638.91,68.07,170
1,568.72,226458.81,384003.36,6826.67,99.74,3,267627530.10,3,11525890.86,36399.88,91.29,2344
4,788.67,379729.07,284082.90,2290.68,60.19,2,446028177.20,1,12159116.08,1012.70,7.38,855
5,570.89,221187.27,433494.36,4256.61,62.00,3,208984808.00,3,11350393.06,27633.95,24.42,2615
2,87.02,274511.27,370704.84,1920.48,93.81,3,268027501.30,3,2994895.22,37250.24,93.33,253
7,230.01,142620.74,272217.71,5074.50,53.21,1,324516506.40,3,10610433.43,39825.36,32.09,3357
1,110.20,434646.93,332301.00,2464.56,55.94,4,303901693.30,2,11760561.73,15803.45,69.39,1289
5,740.05,375676.73,418990.27,330.57,59.78,2,489575418.30,2,349929.72,34114.37,26.51,3704
2,584.93,118083.83,196594.44,1828.69,50.25,2,38887484.60,1,8149416.59,5922.63,21.41,4253
6,349.66,445209.95,52605.34,2432.42,95.81,4,358465468.00,2,1518638.31,33490.26,20.10,1905
3,539.69,287414.93,297041.53,4967.78,59.26,4,353704690.30,3,15808260.84,4128.60,93.13,1457
6,589.89,329564.40,59303.60,418.51,50.22,4,134378195.60,1,13518262.55,38077.01,3.01,2925
6,522.74,332806.70,292963.20,8979.64,78.50,3,474134874.70,2,11102476.66,4804.99,71.62,2139
3,368.45,309289.74,297913.21,4916.38,56.88,1,106278788.50,2,19869954.94,28311.46,32.58,4923
1,25.02,298553.61,397205.44,146.96,95.95,1,220571716.20,2,1626021.82,20069.41,38.08,2670
1,551.67,496811.26,259969.99,8072.34,80.97,4,38823384.67,2,4835078.44,38887.94,77.51,350
4,408.20,288732.15,74507.14,7291.11,70.33,1,92378364.96,1,6636105.66,46708.13,98.32,4570
6,372.37,428808.83,120888.89,6470.11,96.37,2,36585234.30,3,4919693.34,46510.58,12.53,2864
3,537.36,67874.30,420193.46,1195.17,81.14,1,199113325.50,1,13417700.36,34794.33,34.84,612
6,22.43,100354.25,362063.07,1562.74,93.17,1,23251785.56,3,1534076.11,43213.14,34.31,1854
6,364.19,115268.89,139419.72,3175.27,72.93,1,329794781.30,3,4670769.13,4803.49,6.29,1528
3,278.65,83591.86,96866.15,8158.59,83.47,2,313140478.10,1,12139455.96,5584.07,19.91,4433
4,812.83,425025.44,245837.83,4487.42,52.16,3,230594404.60,2,9578342.19,44062.36,62.28,3636
1,495.62,78007.31,136800.59,9289.77,66.28,3,66858079.70,3,1451486.99,32468.31,86.23,1196
2,973.53,90689.63,350827.69,434.23,93.18,1,358492972.00,2,11044771.44,23915.55,60.45,4914
2,388.61,391328.77,77941.86,2857.23,89.97,4,46877879.12,2,2041090.11,22012.25,33.62,1060
5,10.57,147319.96,436580.57,8833.75,88.75,2,230043178.90,2,12481958.53,12664.92,24.20,3714
6,771.54,125788.26,110512.78,1409.29,74.15,3,131261237.90,3,18906673.28,20808.86,48.90,3601
4,889.04,261928.04,133225.60,7900.05,70.07,4,99302386.82,2,567454.19,44683.06,14.19,4979
3,321.05,116729.07,92168.14,9898.11,50.43,4,255982860.70,3,12461810.56,4660.87,35.83,2478
6,913.21,207984.75,327222.85,321.35,73.88,3,22697189.36,1,1579020.40,7176.60,48.64,1135
7,565.47,98638.96,20413.35,3976.81,64.73,1,34566658.57,2,11458180.05,47856.12,55.28,3260
5,495.85,261591.90,215507.90,6626.45,50.58,2,10702233.99,3,1392939.21,8952.74,82.54,4580
5,768.75,278248.52,232445.15,2858.70,89.67,1,227746028.40,2,13577965.84,10480.11,87.67,661
1,352.77,9717.23,345296.38,6438.86,92.00,3,26378888.39,2,6353759.07,43087.50,41.00,3883
1,849.92,72548.55,157985.37,2693.27,86.01,3,148697103.50,1,8050412.53,25934.99,74.34,3742
3,526.09,113348.08,426789.80,3765.01,79.48,2,314762081.60,1,1502368.74,2828.20,60.92,621
1,558.96,64403.29,380557.14,3489.63,51.64,1,400088238.10,2,412040.07,30299.50,6.32,4957
2,768.43,448211.81,203145.02,4825.92,92.50,4,463329423.40,1,13877148.68,27910.08,12.89,671
1,294.59,265236.13,425969.26,9603.41,84.11,3,454814157.10,1,19914549.72,15437.67,83.56,2481
3,705.61,176337.31,159700.85,395.91,65.00,3,116569069.00,1,4560071.24,6504.48,57.18,4954
6,502.46,497460.35,292150.63,1315.26,95.24,4,110401732.40,3,3722705.24,5966.13,32.84,49
5,731.75,117669.78,401103.87,7251.27,52.42,4,104504090.50,3,12429928.73,41396.35,18.69,3937
3,548.11,393155.98,385673.00,1388.97,72.89,1,347041438.10,2,11086204.00,47108.64,65.62,2272
6,418.84,265120.04,426592.36,5170.27,63.48,1,57168152.54,3,8769149.03,23997.68,22.44,2302
7,536.92,79317.52,411740.88,8022.49,66.00,1,2502418.76,1,19480537.05,36422.29,50.24,681
5,536.02,483229.12,42550.42,2948.96,65.69,2,43540449.25,3,17241565.95,45639.04,5.91,3129
5,859.07,430077.80,219524.26,4195.21,89.66,3,145247260.60,2,17188568.52,2618.49,2.45,2247
3,846.78,352148.69,168563.28,3917.32,50.26,1,283310728.00,2,11984831.78,28252.85,36.16,2131
3,247.46,155037.99,441478.80,9703.88,87.16,1,168056119.30,2,13759630.07,39887.40,42.08,2601
7,646.07,36278.79,359047.93,803.37,77.30,3,347670699.30,3,4706650.18,21336.86,17.64,2088
4,388.23,492381.10,235666.40,7514.86,85.32,4,86640559.43,1,563739.26,38785.68,63.49,1842
1,12.21,275505.37,368750.84,8029.86,88.41,1,465880023.20,2,3049664.86,39753.97,40.50,1956
3,988.43,160471.26,306447.37,8508.39,93.77,3,362024293.80,1,8956411.76,26467.69,27.79,2302
5,957.25,417338.11,228793.06,8780.46,52.02,3,405392474.00,2,19572644.41,15779.12,74.46,4406
1,105.28,165700.35,408735.28,8990.77,54.89,1,367962103.40,1,9224190.06,17712.15,85.94,230
5,24.06,187228.08,45667.08,3216.97,68.46,1,310564324.40,2,6942633.19,29858.91,20.26,61
1,988.27,86328.54,432994.79,5114.33,93.72,4,76169222.76,3,8741794.84,17804.34,56.41,2706
7,371.83,66174.06,302953.58,2922.48,93.10,2,128969103.00,1,2062163.96,35672.86,58.15,4544
5,677.53,356177.48,144412.98,7079.58,55.93,4,408117058.30,3,14630764.68,25530.99,62.18,4325
1,503.14,179691.98,158040.06,6941.70,51.93,3,321481798.60,3,13633157.18,23442.87,43.99,1070
1,847.75,239411.40,356880.86,1415.07,64.38,4,54857062.75,2,2922067.21,46565.27,62.47,1225
7,458.20,208725.48,308231.24,9752.55,77.55,2,280237955.40,2,2231110.52,23280.88,12.97,2167
2,118.51,209851.78,166844.82,3784.62,61.07,3,277648646.90,3,2756187.44,48102.86,95.41,3547
1,384.15,161739.10,326424.19,9504.35,65.65,1,305252587.30,2,11278932.04,21312.81,39.40,4532
4,623.68,262491.36,268347.86,8603.93,57.80,2,103742943.10,1,1028116.11,15634.70,87.16,438
4,956.27,54746.38,48365.02,964.63,83.08,4,402174851.00,3,12528485.99,30907.17,74.01,1757
4,902.22,208233.78,29900.00,6512.22,85.88,1,284435790.80,1,18295824.19,4095.19,78.42,4178
6,178.50,193527.44,375780.23,883.51,86.37,4,163868585.10,3,17009334.46,41585.18,53.68,4507
3,247.24,43265.38,408759.96,28.61,74.05,3,241379200.50,3,1271146.49,32259.36,1.58,3172
2,99.41,306111.35,272211.44,2286.38,59.99,2,271157044.50,1,852692.94,46192.77,66.52,2438
3,815.89,18757.44,80615.48,1725.20,72.02,3,38350276.63,3,4031431.27,34891.42,68.56,4109
7,488.28,331130.20,374004.09,7377.22,62.49,1,50152950.56,2,14568702.39,49012.52,77.37,2118
3,540.28,437139.08,288435.50,9753.11,99.94,3,31264261.31,2,14845150.61,3418.35,96.16,1376
1,605.97,153632.03,59466.29,8427.20,98.34,3,99952642.38,1,5258198.76,7037.64,62.90,4415
3,449.87,327535.24,412459.29,9234.51,55.81,4,331559601.80,2,19838197.67,35543.98,46.20,851
2,724.12,256814.33,222274.86,9546.21,65.30,3,338070658.10,2,2465616.93,8912.03,36.42,1708
1,167.54,278897.89,396478.13,7890.25,84.20,2,311938835.10,1,15030740.22,48100.21,75.27,3062
5,981.23,481589.53,329170.80,7079.91,75.04,1,67350598.66,3,130522.37,36158.02,14.89,1048
4,596.75,432694.32,87636.98,3243.58,61.10,4,40730479.06,2,9464400.87,20595.24,36.27,241
7,343.71,491951.67,410272.80,3889.71,80.90,1,282268536.50,1,18318597.78,19564.22,35.84,1965
2,243.78,347035.97,178771.94,8015.72,76.04,1,315284609.30,3,5578741.14,47586.83,14.80,2327
6,806.77,36553.16,259882.66,7741.10,65.52,3,19767546.79,3,13167877.15,20932.79,93.22,3254
5,540.79,486671.10,52560.91,6580.09,69.18,4,48420805.56,3,4635249.93,12302.43,78.80,3631
1,243.72,420732.13,325637.05,9051.20,51.93,3,207789709.00,3,758020.48,31106.97,91.94,1056
7,257.38,255572.65,435202.64,8801.36,87.19,4,288289700.00,2,329356.86,9564.87,68.62,96
1,333.64,486679.03,414220.24,213.81,97.26,1,375705767.20,2,4410174.08,46727.92,62.27,820
2,852.90,247585.03,389785.81,2366.95,52.86,2,367590691.00,1,4525969.27,39761.40,67.53,3348
7,110.84,48644.10,233725.45,8779.42,85.88,2,7576400.46,3,17861955.83,12754.80,35.30,4299
3,778.37,177962.26,295339.93,3396.64,62.92,4,482889424.10,2,10016224.30,16817.55,48.01,3000
3,59.67,167048.45,90548.36,9373.31,54.01,4,165338444.40,3,15314946.02,38850.05,54.58,4779
6,411.44,273810.97,269022.44,6266.02,71.28,3,141443130.10,2,7464390.05,1401.15,8.81,1309
2,29.90,103221.35,202319.88,9366.47,77.63,4,33679401.88,2,18100937.85,21941.42,26.22,648
4,841.48,445539.37,230055.53,8118.58,52.65,2,487920440.80,3,3362035.79,32045.61,54.71,367
2,293.85,198945.59,327414.36,2714.16,63.30,3,266763241.50,1,12532910.77,44505.10,14.00,3368
6,548.60,439765.12,152879.65,3627.89,60.91,1,58312769.06,1,19632034.92,27068.52,60.76,4205
5,570.16,290483.98,405782.45,4560.90,68.86,4,344765222.30,2,10518780.71,20483.62,34.60,522
7,578.29,165230.32,138573.07,8136.22,90.05,3,40527000.54,3,6250904.17,24118.22,68.53,4053
5,120.92,221052.24,228138.37,6797.69,79.18,2,119499138.40,3,1873300.22,19229.81,71.82,4511
6,580.62,281636.52,137876.90,7494.22,68.80,3,199943570.00,2,8865377.73,33138.24,59.92,397
7,67.73,399909.08,97658.81,4025.80,91.91,3,395689036.60,3,14834121.04,31630.44,95.04,2926
2,368.24,365626.21,419913.06,4744.22,91.80,4,292834823.70,3,17155464.06,20951.56,5.37,1398
5,871.72,454157.06,297541.39,5184.20,71.26,3,248064115.80,2,8549163.31,43931.05,16.28,2652
4,141.33,449100.08,258570.86,862.27,82.16,3,443657461.50,2,5690738.97,22567.07,48.37,1188
6,532.26,15364.04,60219.29,987.14,86.99,2,151657072.60,3,2528830.66,837.91,29.34,4214
6,407.87,470281.90,431129.29,3919.80,55.86,4,344387586.40,2,13704042.01,17054.92,4.26,112
4,735.76,304944.99,190712.41,2119.84,76.27,4,424340346.20,2,240122.54,2238.76,64.55,4976
3,930.60,338290.21,337689.67,2449.40,57.68,3,196697303.60,1,12248107.29,33584.07,32.83,3686
6,274.33,184432.10,352104.92,6513.29,92.25,1,178101164.20,2,5755007.40,16091.54,74.39,3417
5,336.91,366037.52,230701.93,3140.78,90.71,1,427943805.60,1,1616860.53,46879.01,31.93,1995
3,423.89,153679.20,162111.59,2089.98,58.18,4,4358549.52,1,2363176.69,29266.29,42.64,2540
2,839.12,186225.32,73654.30,3528.42,96.17,3,364407982.70,1,6785172.49,48601.26,78.77,3235
2,982.90,297752.03,378181.25,2204.24,80.87,4,474214427.70,1,8704267.83,37177.02,31.21,2340
5,375.29,2622.31,201795.81,534.54,98.20,1,52890690.35,3,18232163.86,20893.04,68.55,1289
4,519.63,236635.12,166561.12,3293.56,70.65,1,16087865.64,1,13139495.39,26647.28,30.88,3000
1,943.25,170257.69,136134.07,2549.60,89.84,2,323410526.90,3,6693443.22,8789.95,7.89,4715
6,745.77,4646.46,234311.30,2932.85,89.21,4,255226442.70,1,609574.27,44200.87,30.38,2178
4,862.91,389949.93,102212.05,1533.91,67.48,4,481682466.30,2,314971.33,34738.15,79.68,3270
2,301.11,257334.21,193671.54,7678.74,61.47,4,108552326.90,1,15112856.04,14836.58,51.36,834
1,353.76,306378.10,214367.07,4882.50,89.45,3,189309406.10,2,640064.25,40651.08,51.30,1715
7,537.21,316873.51,170543.22,5677.35,53.04,4,23290062.15,1,16519206.50,44867.14,50.73,2482
5,273.59,362569.75,11634.22,2916.73,92.87,1,237360930.10,1,5248901.01,32041.91,28.87,628
5,17.60,266310.40,159069.16,8247.12,91.23,4,143876441.30,3,18746010.28,37412.47,97.26,811
5,138.78,218672.63,308656.84,9550.69,77.09,2,257491365.30,1,16635611.71,35828.10,5.31,727
6,55.73,252486.02,59035.63,9663.16,72.41,1,117494191.10,1,9904215.51,32361.26,71.24,4327
4,789.53,327183.58,445526.44,5158.55,79.35,4,335324992.40,3,7732016.05,34233.51,8.28,2739
6,358.34,36114.43,195438.52,6081.92,72.30,4,484461648.00,2,12130966.44,15235.78,87.75,2916
4,232.21,471038.39,288099.88,7526.46,87.87,1,306120033.90,1,5917966.26,4845.59,28.95,1498
2,985.81,179232.01,129938.74,4227.69,91.70,3,109678729.40,1,10773494.49,25929.15,91.28,3469
1,941.99,102277.91,260307.38,2757.76,74.38,1,420259241.00,1,7269372.91,27010.41,14.08,3970
3,596.86,83968.84,117900.16,5609.20,72.77,3,45451451.40,3,1184957.64,30761.20,64.79,3433
6,890.07,403792.87,332908.61,9478.49,66.77,1,87737394.10,2,3685622.10,20937.01,79.43,4954
5,206.50,318668.84,113428.16,9374.10,58.26,1,40500460.25,1,2888990.67,38832.42,1.97,2354
2,455.01,125683.89,334270.62,3922.11,86.13,3,228848263.20,2,64800.59,40003.26,78.86,1425
5,850.78,450682.85,444900.32,1632.13,75.12,3,416934007.60,1,19847346.30,10391.04,57.52,334
4,905.73,368800.61,246073.92,6047.70,76.76,2,249808853.80,2,9481848.71,1114.73,94.44,2519
3,150.78,413915.16,449733.79,2983.76,71.44,2,253486131.10,2,12327100.78,24581.34,61.52,4856
1,682.46,174731.61,149555.44,1467.14,97.58,2,28098029.03,1,4271660.90,18261.82,60.46,392
5,305.29,171057.05,326775.47,2615.29,86.69,2,232739688.30,3,15091813.43,5137.60,45.89,1706
3,571.61,391532.39,386176.69,5589.21,64.53,2,225014287.70,3,15967322.61,3308.82,28.36,2436
1,328.76,393166.39,105312.24,5336.77,58.25,2,494080792.60,2,18381491.33,42899.24,17.40,4799
5,694.67,371224.64,61058.68,5946.09,86.08,3,205961121.90,2,2107378.72,9864.88,38.46,741
